Region,Code,Year,Deaths averted,AIDS-related deaths
Asia and the Pacific (UNAIDS),,2010,163303,304155
Asia and the Pacific (UNAIDS),,2011,178738,282937
Asia and the Pacific (UNAIDS),,2012,192049,263119
Asia and the Pacific (UNAIDS),,2013,204234,241786
Asia and the Pacific (UNAIDS),,2014,210009,226360
Asia and the Pacific (UNAIDS),,2015,208783,217775
Asia and the Pacific (UNAIDS),,2016,213358,203257
Asia and the Pacific (UNAIDS),,2017,216766,190258
Asia and the Pacific (UNAIDS),,2018,222657,174743
Asia and the Pacific (UNAIDS),,2019,231411,156499
Asia and the Pacific (UNAIDS),,2020,228354,150596
Asia and the Pacific (UNAIDS),,2021,215565,154847
Asia and the Pacific (UNAIDS),,2022,211912,150349
Asia and the Pacific (UNAIDS),,1990,,17788
Asia and the Pacific (UNAIDS),,1991,,30054
Asia and the Pacific (UNAIDS),,1992,,47240
Asia and the Pacific (UNAIDS),,1993,,69615
Asia and the Pacific (UNAIDS),,1994,,98217
Asia and the Pacific (UNAIDS),,1995,,132536
Asia and the Pacific (UNAIDS),,1996,,170126
Asia and the Pacific (UNAIDS),,1997,,210411
Asia and the Pacific (UNAIDS),,1998,,251825
Asia and the Pacific (UNAIDS),,1999,,292144
Asia and the Pacific (UNAIDS),,2000,,329725
Asia and the Pacific (UNAIDS),,2001,,363552
Asia and the Pacific (UNAIDS),,2002,,390672
Asia and the Pacific (UNAIDS),,2003,,411669
Asia and the Pacific (UNAIDS),,2004,,422647
Asia and the Pacific (UNAIDS),,2005,,417847
Asia and the Pacific (UNAIDS),,2006,,403630
Asia and the Pacific (UNAIDS),,2007,,381988
Asia and the Pacific (UNAIDS),,2008,,353421
Asia and the Pacific (UNAIDS),,2009,,326832
Caribbean (UNAIDS),,2010,9007,11924
Caribbean (UNAIDS),,2011,8782,12017
Caribbean (UNAIDS),,2012,9323,11301
Caribbean (UNAIDS),,2013,9991,10558
Caribbean (UNAIDS),,2014,10555,9956
Caribbean (UNAIDS),,2015,10976,9548
Caribbean (UNAIDS),,2016,10816,9729
Caribbean (UNAIDS),,2017,11678,8897
Caribbean (UNAIDS),,2018,12893,7635
Caribbean (UNAIDS),,2019,13615,6922
Caribbean (UNAIDS),,2020,14330,6171
Caribbean (UNAIDS),,2021,14561,5871
Caribbean (UNAIDS),,2022,14764,5562
Caribbean (UNAIDS),,1990,,4869
Caribbean (UNAIDS),,1991,,6219
Caribbean (UNAIDS),,1992,,7665
Caribbean (UNAIDS),,1993,,9164
Caribbean (UNAIDS),,1994,,10682
Caribbean (UNAIDS),,1995,,12184
Caribbean (UNAIDS),,1996,,13637
Caribbean (UNAIDS),,1997,,15011
Caribbean (UNAIDS),,1998,,16276
Caribbean (UNAIDS),,1999,,17425
Caribbean (UNAIDS),,2000,,18444
Caribbean (UNAIDS),,2001,,19210
Caribbean (UNAIDS),,2002,,19675
Caribbean (UNAIDS),,2003,,19816
Caribbean (UNAIDS),,2004,,19704
Caribbean (UNAIDS),,2005,,18784
Caribbean (UNAIDS),,2006,,17111
Caribbean (UNAIDS),,2007,,15362
Caribbean (UNAIDS),,2008,,13859
Caribbean (UNAIDS),,2009,,12448
East and Southern Africa (UNAIDS),,2010,599777,601742
East and Southern Africa (UNAIDS),,2011,667433,535011
