Country,Code,Year,New Cases
Afghanistan,AFG,2019,849.66254
Albania,ALB,2019,2.6898444
Algeria,DZA,2019,675.619
American Samoa,ASM,2019,1.329915
Andorra,AND,2019,7.378066
Angola,AGO,2019,43510.58
Antigua and Barbuda,ATG,2019,28.023123
Argentina,ARG,2019,11633.454
Armenia,ARM,2019,127.89752
Australia,AUS,2019,1487.2773
Austria,AUT,2019,671.0829
Azerbaijan,AZE,2019,304.82303
Bahamas,BHS,2019,273.1553
Bahrain,BHR,2019,15.666963
Bangladesh,BGD,2019,641.7565
Barbados,BRB,2019,77.6944
Belarus,BLR,2019,1987.6143
Belgium,BEL,2019,934.999
Belize,BLZ,2019,210.37167
Benin,BEN,2019,3102.3525
Bermuda,BMU,2019,15.416955
Bhutan,BTN,2019,74.84879
Bolivia,BOL,2019,1597.6351
Bosnia and Herzegovina,BIH,2019,9.857321
Botswana,BWA,2019,9251.085
Brazil,BRA,2019,64763.234
Brunei,BRN,2019,41.091755
Bulgaria,BGR,2019,173.81738
Burkina Faso,BFA,2019,3003.2297
Burundi,BDI,2019,1885.2888
Cambodia,KHM,2019,898.8805
Cameroon,CMR,2019,30423.273
Canada,CAN,2019,3323.9863
Cape Verde,CPV,2019,126.587456
Central African Republic,CAF,2019,6973.6562
Chad,TCD,2019,9153.318
Chile,CHL,2019,4080.7786
China,CHN,2019,31876.906
Colombia,COL,2019,9023.162
Comoros,COM,2019,12.5831585
Congo,COG,2019,6620.485
Cook Islands,COK,2019,4.7506742
Costa Rica,CRI,2019,411.29315
Cote d'Ivoire,CIV,2019,14695.901
Croatia,HRV,2019,41.86926
Cuba,CUB,2019,2016.8514
Cyprus,CYP,2019,11.436045
Czechia,CZE,2019,88.58537
Democratic Republic of Congo,COD,2019,13826.215
Denmark,DNK,2019,234.14763
Djibouti,DJI,2019,867.8819
Dominica,DMA,2019,19.55045
Dominican Republic,DOM,2019,2856.4695
East Timor,TLS,2019,342.89713
Ecuador,ECU,2019,3556.2854
Egypt,EGY,2019,506.40665
El Salvador,SLV,2019,1112.88
Equatorial Guinea,GNQ,2019,8161.3945
Eritrea,ERI,2019,1061.083
Estonia,EST,2019,168.43211
Eswatini,SWZ,2019,6899.518
Ethiopia,ETH,2019,27977.309
Fiji,FJI,2019,43.286465
Finland,FIN,2019,63.532284
France,FRA,2019,2570.207
Gabon,GAB,2019,2479.9915
Gambia,GMB,2019,2224.5935
Georgia,GEO,2019,269.11618
Germany,DEU,2019,2311.8438
Ghana,GHA,2019,17458.822
Greece,GRC,2019,145.17345
Greenland,GRL,2019,11.93208
Grenada,GRD,2019,20.213827
Guam,GUM,2019,12.170319
Guatemala,GTM,2019,1973.3596
Guinea,GIN,2019,10164.453
Guinea-Bissau,GNB,2019,1501.752
Guyana,GUY,2019,629.0126
Haiti,HTI,2019,8186.007
Honduras,HND,2019,558.4301
Hungary,HUN,2019,181.07127
Iceland,ISL,2019,8.658602
India,IND,2019,73445.336
Indonesia,IDN,2019,14027.393
Iran,IRN,2019,3608.7332
Iraq,IRQ,2019,261.7748
Ireland,IRL,2019,130.95476
Israel,ISR,2019,650.6644
Italy,ITA,2019,3850.8816
