Country,Country_Code,Level,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,National,Total,61,61.6,62.1,62.5,63,63.4,63.8,64.1,64.5,64.8
Albania,ALB,National,Total,76.6,76.9,77.3,77.6,77.8,78,78.2,78.3,78.5,78.6
Algeria,DZA,National,Total,74.9,75.2,75.4,75.7,75.9,76.1,76.3,76.5,76.7,76.9
Andorra,AND,National,Total,80.8,80.9,81.1,81.2,81.3,81.4,81.5,81.7,81.8,81.9
Angola,AGO,National,Total,55.4,56.3,57.2,58.1,58.8,59.4,59.9,60.4,60.8,61.1
Antigua and Barbuda,ATG,National,Total,75.8,76,76.1,76.2,76.3,76.5,76.6,76.8,76.9,77
Argentina,ARG,National,Total,75.3,75.4,75.6,75.8,75.9,76.1,76.2,76.4,76.5,76.7
Armenia,ARM,National,Total,73.3,73.6,73.8,74.1,74.3,74.5,74.6,74.8,74.9,75.1
Australia,AUS,National,Total,81.9,82.1,82.3,82.5,82.6,82.8,83,83.1,83.3,83.4
Austria,AUT,National,Total,80.6,80.8,80.9,81,81.1,81.2,81.3,81.3,81.4,81.5
Azerbaijan,AZE,National,Total,70.9,71.2,71.5,71.8,72,72.3,72.5,72.7,72.9,73
Bahamas,BHS,National,Total,72.1,72.3,72.4,72.6,72.8,73.1,73.3,73.6,73.8,73.9
Bahrain,BHR,National,Total,76.1,76.2,76.3,76.5,76.6,76.8,76.9,77,77.2,77.3
Bangladesh,BGD,National,Total,69.9,70.3,70.6,70.9,71.2,71.5,71.8,72.1,72.3,72.6
Barbados,BRB,National,Total,78.4,78.5,78.5,78.6,78.7,78.8,78.9,79,79.1,79.2
Belarus,BLR,National,Total,70.8,71.4,72.1,72.7,73.2,73.7,74,74.3,74.6,74.8
Belgium,BEL,National,Total,80.1,80.3,80.4,80.6,80.8,81,81.1,81.3,81.5,81.6
Belize,BLZ,National,Total,72.1,72.6,73,73.5,73.8,74,74.2,74.4,74.5,74.6
Benin,BEN,National,Total,59.3,59.6,59.8,60.1,60.3,60.6,60.9,61.2,61.5,61.8
Bhutan,BTN,National,Total,68.4,68.8,69.3,69.7,70,70.4,70.8,71.1,71.5,71.8
Bolivia,BOL,National,Total,68,68.5,69,69.5,69.9,70.3,70.6,70.9,71.2,71.5
Bosnia and Herzegovina,BIH,National,Total,76,76.2,76.4,76.6,76.7,76.9,77,77.1,77.3,77.4
Botswana,BWA,National,Total,60.2,61.9,63.5,65,66.3,67.3,68.2,68.8,69.3,69.6
Brazil,BRA,National,Total,73.6,73.9,74.2,74.5,74.7,75,75.2,75.5,75.7,75.9
Brunei Darussalam,BRN,National,Total,74.7,74.9,75,75.1,75.2,75.3,75.5,75.6,75.7,75.9
Bulgaria,BGR,National,Total,73.7,73.9,74.1,74.3,74.5,74.6,74.7,74.8,74.9,75
Burkina Faso,BFA,National,Total,57.1,57.8,58.4,58.9,59.5,59.9,60.4,60.8,61.2,61.6
Burundi,BDI,National,Total,57.2,57.9,58.6,59.1,59.7,60.1,60.5,60.9,61.2,61.6
Cambodia,KHM,National,Total,66.6,67,67.5,67.9,68.3,68.6,69,69.3,69.6,69.8
Cameroon,CMR,National,Total,55.1,55.6,56.1,56.6,57.1,57.6,58.1,58.5,58.9,59.3
Canada,CAN,National,Total,81.3,81.5,81.7,81.8,81.9,82,82.1,82.2,82.3,82.4
Cape Verde,CPV,National,Total,71.1,71.2,71.4,71.7,71.9,72.1,72.3,72.6,72.8,73
Central African Republic CAR,CAF,National,Total,47.3,48,48.6,49.4,50.1,50.9,51.6,52.2,52.8,53.3
Chad,TCD,National,Total,50.9,51.4,51.9,52.4,52.8,53.1,53.4,53.7,54,54.2
Chili,CHL,National,Total,78.8,79,79.2,79.3,79.5,79.6,79.8,79.9,80,80.2
China,CHN,National,Total,74.4,74.7,75,75.3,75.6,75.9,76.2,76.5,76.7,76.9
Colombia,COL,National,Total,75.4,75.7,75.9,76.1,76.3,76.5,76.7,76.9,77.1,77.3
Comoros,COM,National,Total,61.9,62.2,62.6,62.9,63.2,63.5,63.7,63.9,64.1,64.3
Congo Brazzaville,COG,National,Total,60.1,60.8,61.4,62,62.6,63.1,63.6,64,64.3,64.6
Congo Democratic Republic,COD,National,Total,56.9,57.4,57.9,58.4,58.8,59.3,59.7,60,60.4,60.7
Costa Rica,CRI,National,Total,78.8,78.9,79.1,79.2,79.4,79.6,79.7,79.9,80.1,80.3
Cote d'Ivoire,CIV,National,Total,53,53.6,54.3,54.9,55.5,56.1,56.6,57,57.4,57.8
Croatia,HRV,National,Total,76.8,77.1,77.3,77.5,77.7,77.9,78,78.2,78.3,78.5
Cuba,CUB,National,Total,78.3,78.4,78.4,78.5,78.5,78.6,78.6,78.7,78.7,78.8
Cyprus,CYP,National,Total,79.4,79.6,79.8,80,80.2,80.3,80.5,80.7,80.8,81
Czech Republic,CZE,National,Total,77.6,77.8,78.1,78.3,78.5,78.7,78.9,79.1,79.2,79.4
Denmark,DNK,National,Total,79.4,79.7,80,80.2,80.3,80.5,80.6,80.7,80.8,80.9
Djibouti,DJI,National,Total,60.1,60.7,61.4,62.2,63.2,64.1,65.1,65.9,66.6,67.1
Dominica,DMA,National,Total,77.4,77.5,77.6,77.7,77.8,77.9,77.9,78,78.1,78.2
Dominican Republic,DOM,National,Total,72,72.3,72.5,72.8,73,73.2,73.5,73.7,73.9,74.1
Ecuador,ECU,National,Total,75.1,75.3,75.5,75.7,75.9,76.1,76.4,76.6,76.8,77
Egypt,EGY,National,Total,70.3,70.5,70.7,70.9,71.1,71.3,71.5,71.7,71.8,72
El Salvador,SLV,National,Total,71.2,71.4,71.7,71.9,72.2,72.4,72.6,72.9,73.1,73.3
Equatorial Guinea,GNQ,National,Total,55.6,55.9,56.3,56.6,57,57.4,57.7,58.1,58.4,58.7
Eritrea,ERI,National,Total,62.2,62.7,63.2,63.7,64.2,64.7,65.1,65.5,65.9,66.3
Estonia,EST,National,Total,75.3,75.9,76.4,77,77.4,77.8,78.1,78.4,78.6,78.8
Eswatini,SWZ,National,Total,46.6,48.1,49.9,51.7,53.6,55.4,57,58.3,59.4,60.2
Ethiopia,ETH,National,Total,61.6,62.5,63.3,64,64.5,65,65.5,65.9,66.2,66.6
Fiji,FJI,National,Total,66.7,66.8,66.9,67,67,67.1,67.2,67.3,67.3,67.4
Finland,FIN,National,Total,80.1,80.4,80.6,80.8,81,81.2,81.4,81.6,81.7,81.9
France,FRA,National,Total,81.5,81.7,81.9,82,82.1,82.2,82.3,82.4,82.5,82.7
Gabon,GAB,National,Total,61.4,62.2,62.9,63.6,64.3,64.9,65.4,65.8,66.2,66.5
Gambia,GMB,National,Total,59.6,59.9,60.2,60.4,60.7,60.9,61.2,61.4,61.7,62
Georgia,GEO,National,Total,71.5,71.8,72.1,72.4,72.7,73,73.2,73.4,73.6,73.8
Germany,DEU,National,Total,80.1,80.3,80.4,80.5,80.6,80.8,80.9,81,81.2,81.3
Ghana,GHA,National,Total,61,61.4,61.7,62.1,62.4,62.8,63.1,63.5,63.8,64.1
Greece,GRC,National,Total,80.5,80.8,81,81.2,81.4,81.5,81.7,81.9,82.1,82.2
Grenada,GRD,National,Total,72.9,72.8,72.7,72.6,72.5,72.4,72.4,72.4,72.4,72.4
Guatemala,GTM,National,Total,71.5,71.9,72.2,72.6,72.9,73.3,73.5,73.8,74.1,74.3
Guinea,GIN,National,Total,56.9,57.4,57.9,58.4,59,59.6,60.2,60.7,61.2,61.6
Guinea Bissau,GNB,National,Total,54.6,55.1,55.6,56.1,56.6,57,57.3,57.7,58,58.3
Guyana,GUY,National,Total,68.1,68.3,68.6,68.8,69,69.3,69.5,69.6,69.8,69.9
Haiti,HTI,National,Total,60.5,60.9,61.3,61.7,62.1,62.5,62.9,63.3,63.7,64
